Locality;Locality;"COD IBGE";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (2000)";"Per capita income (2010)"
"Jardim da Paz / São Jerônimo (Americana , RM Campinas)";HDU;--;69,53;74,35;24,50;15,70;0,621;0,725;0,647;0,709;0,742;0,823;0,498;0,653;10,14;10,45;448,18;660,50
"Jardim dos Lírios (Americana , RM Campinas)";HDU;--;70,30;72,42;22,90;19,00;0,620;0,709;0,643;0,691;0,755;0,790;0,491;0,654;9,82;11,19;437,62;587,91
"Jardim Ipiranga / Jardim Brasília (Americana , RM Campinas)";HDU;--;72,89;77,57;18,00;11,10;0,703;0,792;0,715;0,758;0,798;0,876;0,608;0,747;10,77;10,45;684,76;895,78
"Jardim Ipiranga / Vila Amorim (Americana , RM Campinas)";HDU;--;74,37;78,50;15,60;9,90;0,747;0,820;0,762;0,799;0,823;0,892;0,666;0,775;11,52;11,06;915,24;1156,23
"Jardim São Paulo / Frezarin / Centro (Americana , RM Campinas)";HDU;--;76,76;80,49;11,04;7,60;0,827;0,899;0,862;0,913;0,863;0,925;0,761;0,861;11,64;11,54;1710,95;2352,94
"Mathiesen / Cidade Jardim (Americana , RM Campinas)";HDU;--;73,06;76,47;17,80;12,60;0,681;0,761;0,719;0,738;0,801;0,858;0,548;0,697;9,90;10,78;702,69;791,13
"Morada do Sol / Jardim Paulistano (Americana , RM Campinas)";HDU;--;74,37;78,50;15,60;9,90;0,747;0,820;0,762;0,799;0,823;0,892;0,666;0,775;11,52;11,06;915,24;1156,23
"Nova Americana / São Pedro (Americana , RM Campinas)";HDU;--;76,07;79,22;13,00;9,00;0,789;0,866;0,821;0,844;0,851;0,904;0,702;0,851;11,31;11,35;1323,93;1531,95
"Nova Carioba / Jaguari / Mariana (Americana , RM Campinas)";HDU;--;73,62;77,51;16,80;11,20;0,718;0,792;0,736;0,758;0,810;0,875;0,620;0,748;10,83;10,37;780,94;895,15
"Parque Gramado / Nações (Americana , RM Campinas)";HDU;--;72,33;77,29;19,00;11,50;0,705;0,800;0,708;0,763;0,789;0,872;0,628;0,769;10,99;11,47;654,11;923,05
"Parque Novo Mundo / Universitário / Terra América (Americana , RM Campinas)";HDU;--;75,07;78,71;14,50;9,60;0,757;0,836;0,781;0,809;0,835;0,895;0,665;0,806;10,98;11,51;1029,50;1232,16
"Portal dos Nobres / Imperador (Americana , RM Campinas)";HDU;--;--;81,12;--;7,00;--;0,922;--;0,964;--;0,935;--;0,870;--;12,11;--;3219,29
"Praia Azul / Pós Represa (Americana , RM Campinas)";HDU;--;69,53;72,42;24,50;19,00;0,621;0,709;0,647;0,691;0,742;0,790;0,498;0,654;10,14;11,19;448,18;587,91
"Praia dos Namorados (Americana , RM Campinas)";HDU;--;76,21;80,23;12,80;7,90;0,803;0,883;0,830;0,891;0,854;0,921;0,731;0,840;11,33;12,39;1396,38;2045,66
"São Domingos / Centro (Americana , RM Campinas)";HDU;--;76,21;79,73;12,80;8,40;0,803;0,857;0,830;0,876;0,854;0,912;0,731;0,789;11,33;11,39;1396,38;1865,43
"São Luiz / Jardim América / Jardim Boer / Bertoni (Americana , RM Campinas)";HDU;--;72,89;77,57;18,00;11,10;0,703;0,792;0,715;0,758;0,798;0,876;0,608;0,747;10,77;10,45;684,76;895,78
"São Vito / Vila Bertini (Americana , RM Campinas)";HDU;--;74,37;78,50;15,60;9,90;0,747;0,820;0,762;0,799;0,823;0,892;0,666;0,775;11,52;11,06;915,24;1156,23
"Zanaga / Jardim Brasil (Americana , RM Campinas)";HDU;--;71,08;75,56;21,40;13,90;0,686;0,766;0,686;0,729;0,768;0,843;0,614;0,732;10,25;11,12;571,33;748,27
